"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"513","Redondela",19,51.9,29194,566.32,42.281852,-8.60917,"España"
"514","Benabarre",792,157.14,1124,7.15,42.116667,0.483333,"España"
"515","Binéfar",286,25.1,9561,380.92,41.85,0.28333333333333,"España"
"516","Burriana / Borriana",13,47,34683,737.94,39.889444444444,-0.0925,"España"
"517","Vielha e Mijaran",974,211.41,5559,26.29,42.735,0.79527777777778,"España"
"518","Vinaròs",7,95.46,28682,300.46,40.466666666667,0.46666666666667,"España"
"519","Barbate",10,143.4,22518,157.03,36.1899697,-5.9200967,"España"
"520","Agde",5,50.81,29023,563.06,43.31,3.4752777777778,"Francia"
"521","Agen",48,11.49,34417,2922.19,44.203055555556,0.61861111111111,"Francia"
"522","Aia",270,55.27,2081,37.69,43.965571,8.092197,"España"
"523","Aix-en-Provence",173,186.08,145676,765.7,43.527777777778,5.4455555555556,"Francia"
"524","Albi",526,32.61,50759,23.95,43.928055555556,2.1458333333333,"Francia"
"525","Alcarràs",137,114.82,9514,82.86,41.56383,0.524069,"España"
"526","Alès",162,23.16,39535,1.71,52.973095,30.6855,"Francia"
"527","Amsterdam",14,219,281,4926,52.383333333333,4.9,"Paises Bajos"
"528","Anglesola",335,23.53,1363,57.93,41.658977,1.081367,"España"
"529","Annemasse",433,4.98,36105,7171.08,46.195,6.2355555555556,"Francia"
"530","Argelaguer",183,12.56,397,31.61,42.2145175,2.6414922,"España"
"531","Arles",10,758.93,53318,69.24,43.676944444444,4.6286111111111,"Francia"
"532","Arroyo del Ojanco",540,57.31,2288,39.92,38.320833333333,-2.8947222222222,"España"
"533","Balma",152,16.59,16878,998.67,43.610277777778,1.4986111111111,"Francia"
"534","Berga",704,22.56,16494,731.12,42.1,1.8455555555556,"España"
"535","Bonn",60,141,324899,2322,50.733888888889,7.0997222222222,"Alemania"
"536","Bourg-de-Péage",135,13.71,10205,744.35,45.037777777778,5.05,"Francia"
"537","Brescia",156,90,197008,2087,45.538888888889,10.220280555556,"Italia"
"538","Brest",34,49.51,790,140064,48.39,-4.4869444444444,"Francia"
"539","Brignoles",224,70.53,17532,243.57,43.405833333333,6.0616666666667,"Francia"
"540","Camprodon",988,103.4,2281,22.06,42.311803,2.364804,"España"
"541","Cannes",16,19.62,73868,3764.93,43.5525,7.0213888888889,"Francia"
"542","Carmona",253,924.12,28531,30.87,37.471111111111,-5.6422222222222,"España"
"543","Castelldefels",3,12.81,67004,5230.6,41.28,1.9766666666667,"España"
"544","Cenon",3,5.52,24975,4479.89,44.856944444444,-0.53277777777778,"Francia"
"545","Cerdanyola del Vallès",32,30.6,57403,1875.92,41.491944444444,2.1388888888889,"España"
"546","Cervera",548,55.2,9180,166.3,41.6657,1.271001,"España"
"547","Dornbirn",437,120.97,44867,397.35,47.416666666667,9.75,"Austria"
"548","Fondarella",243,5.4,784,145.19,41.636388888889,0.87472222222222,"España"
"549","Forbach",219,16.32,21858,1320.59,49.188055555556,6.9,"Francia"
"550","Freiburg im Breisgau",278,153.06,230241,1.435,47.994722222222,7.8497222222222,"Alemania"
"551","Fréjus",32,102.27,53512,515.03,43.433055555556,6.7355555555556,"Francia"
"552","Genève",403,15.93,200548,12.04,46.2,6.15,"Suiza"
"553","Granyanella",541,24.4,148,6.07,41.648705,1.22302,"España"
"554","Grenoble",215,18.13,160625,8739.88,45.186944444444,5.7263888888889,"Francia"
"555","Igualada",340,8.12,39967,4922.04,41.581388888889,1.6208333333333,"España"
"556","Karlsruhe",121,173.46,294761,1715,49.016666666667,8.4,"Alemania"
"557","Köln",37,405.15,1085664,2457,50.942222222222,6.9577777777778,"Alemania"
"558","La Rochelle",13,28.43,75735,2663.91,46.159444444444,-1.1513888888889,"Francia"
"559","Lausanne",590,41.37,138905,3357.63,46.533333333333,6.6333333333333,"Suiza"
"560","Le Grand-Saconnex",452,4.38,12033,2747.26,46.233333333333,6.1166666666667,"Suiza"
"561","Lisle-sur-Tarn",131,86.56,4778,54.23,43.853611111111,1.8111111111111,"Francia"
"562","Ljubljana",293,275,284355,1.708,46.05,14.516666666667,"Slovenija"
"563","London",35,1572,7993,5590,51.507222222222,-0.1275,"Reino Unido"
"564","Luxembourg",595,51.46,143697,1800,49.610555555556,6.1327777777778,"Luxemburgo"
"565","Lyon",178,47.87,515695,10041,45.758888888889,4.8413888888889,"Francia"
"566","Martorell",56,12.84,28189,2195.4,41.47444,1.930537,"España"
"567","Milano",125,182.07,1324110,7272.5,45.4637,9.18817,"Italia"
